ds,y
01-May-23,109.73
01-Apr-23,109.73
01-Mar-23,107.71
01-Feb-23,107.71
01-Jan-23,107.71
01-Dec-22,107.71
01-Nov-22,107.71
01-Oct-22,107.71
01-Sep-22,107.71
01-Aug-22,107.71
01-Jul-22,107.71
01-Jun-22,96.52
01-May-22,117.19
01-Apr-22,113.27
01-Mar-22,106.36
01-Feb-22,106.36
01-Jan-22,106.36
01-Dec-21,106.36
01-Nov-21,112.07
01-Oct-21,104.13
01-Sep-21,103.56
01-Aug-21,103.82
01-Jul-21,100.79
01-Jun-21,96.47
01-May-21,92.28
01-Apr-21,92.44
01-Mar-21,93.05
01-Feb-21,88.33
01-Jan-21,85.72
01-Dec-20,84.34
01-Nov-20,82.89
01-Oct-20,82.89
01-Sep-20,83.91
01-Aug-20,82.15
01-Jul-20,82.15
01-Jun-20,72.99
01-May-20,72.99
01-Apr-20,72.99
01-Mar-20,74.94
01-Feb-20,76.56
01-Jan-20,78.59
01-Dec-19,78.38
01-Nov-19,76.22
01-Oct-19,77.99
01-Sep-19,75.14
01-Aug-19,76.06
01-Jul-19,73.67
01-Jun-19,74.88
01-May-19,76.42
01-Apr-19,76.13
01-Mar-19,75.11
01-Feb-19,74.21
01-Jan-19,71.82
01-Dec-18,75.75
01-Nov-18,82.65
01-Oct-18,87.12
01-Sep-18,81.96
01-Aug-18,79.47
01-Jul-18,78.63
01-Jun-18,81.44
01-May-18,78.61
01-Apr-18,77.67
01-Mar-18,75.43
01-Feb-18,76.97
01-Jan-18,73.77
01-Dec-17,72.99
01-Nov-17,72.91
01-Oct-17,74.62
01-Sep-17,73.07
01-Aug-17,69.06
01-Jul-17,66.93
01-Jun-17,71.27
01-May-17,72.43
